faq_key,segment,language,short_answer,help_link_label,help_link_url
invitation_reminder_en,invited_no_action,en,"Your invitation to register on the onboarding portal has been sent. Please log in with the credentials provided in the invitation email to begin the registration process.","Registration Guide",https://help.supplyon.com/registration
invitation_reminder_de,invited_no_action,de,"Ihre Einladung zur Registrierung im Onboarding-Portal wurde versendet. Bitte melden Sie sich mit den Zugangsdaten aus der Einladungs-E-Mail an, um den Registrierungsprozess zu starten.","Registrierungsleitfaden",https://help.supplyon.com/registration-de
incomplete_steps_en,started_incomplete,en,"It looks like some registration steps are still pending. Please complete the required fields in the onboarding portal to proceed.","Complete Registration",https://help.supplyon.com/complete
incomplete_steps_de,started_incomplete,de,"Einige Registrierungsschritte sind noch nicht abgeschlossen. Bitte vervollständigen Sie die erforderlichen Felder im Onboarding-Portal.","Registrierung abschließen",https://help.supplyon.com/complete-de
missing_data_en,missing_master_data,en,"Certain master data fields are missing from your profile. Please provide the required information so we can proceed with the onboarding.","Update Master Data",https://help.supplyon.com/master-data
missing_data_de,missing_master_data,de,"Bestimmte Stammdatenfelder fehlen in Ihrem Profil. Bitte geben Sie die erforderlichen Informationen an, damit wir mit dem Onboarding fortfahren können.","Stammdaten aktualisieren",https://help.supplyon.com/master-data-de
contract_help_en,contract_pending,en,"Your contract agreement is awaiting signature. Please review and sign the agreement in the portal to continue the onboarding process.","Review Contract",https://help.supplyon.com/contract
contract_help_de,contract_pending,de,"Ihr Vertrag wartet auf Ihre Unterschrift. Bitte prüfen und unterzeichnen Sie die Vereinbarung im Portal.","Vertrag prüfen",https://help.supplyon.com/contract-de
technical_setup_en,technical_setup_pending,en,"Technical connection setup is required. Please follow the guide to configure your EDI/M2M connection with the platform.","Technical Setup Guide",https://help.supplyon.com/technical-setup
technical_setup_de,technical_setup_pending,de,"Die technische Verbindungseinrichtung ist erforderlich. Bitte folgen Sie der Anleitung zur Konfiguration Ihrer EDI/M2M-Verbindung.","Technische Einrichtung",https://help.supplyon.com/technical-setup-de
